Year,Value
194310,0.41
194311,0.10
194312,0.55
194401,0.78
194402,0.34
194403,0.33
194404,0.00
194405,0.07
194406,0.11
194407,0.14
194408,0.14
194409,0.40
194410,0.37
194411,-0.11
194412,-0.31
194501,-0.21
194502,-0.66
194503,-0.17
194504,0.22
194505,-0.12
194506,-0.07
194507,-0.13
194508,0.39
194509,0.13
194510,0.20
194511,-0.03
194512,-0.53
194601,0.31
194602,0.30
194603,-0.12
194604,0.41
194605,-0.03
194606,-0.24
194607,-0.03
194608,-0.04
194609,-0.05
194610,-0.05
194611,0.06
194612,-0.70
194701,-0.33
194702,-0.16
194703,0.33
194704,0.25
194705,-0.01
194706,0.00
194707,-0.09
194708,-0.08
194709,0.03
194710,0.46
194711,0.15
194712,-0.15
194801,0.60
194802,-0.03
194803,-0.35
194804,0.04
194805,0.20
194806,0.11
194807,0.02
194808,0.02
194809,0.03
194810,0.11
194811,0.04
194812,-0.21
194901,0.48
194902,-0.41
194903,-0.17
194904,0.03
194905,0.09
194906,-0.21
194907,-0.19
194908,-0.02
194909,-0.16
194910,0.03
194911,0.05
194912,-0.36
195001,-0.78
195002,-0.47
195003,-0.13
195004,-0.33
195005,-0.04
195006,-0.14
195007,-0.31
195008,-0.40
195009,-0.12
195010,-0.27
195011,-0.84
195012,-0.16
195101,-0.59
195102,-0.99
195103,-0.27
195104,-0.12
195105,0.15
195106,-0.12
195107,0.02
195108,0.09
195109,0.31
195110,0.18
195111,-0.03
195112,0.58
195201,0.30
195202,0.06
195203,-0.32
195204,0.04
195205,0.02
195206,-0.01
195207,0.12
195208,0.03
195209,0.15
195210,-0.24
195211,-0.74
195212,-0.13
195301,0.20
195302,0.38
195303,0.48
195304,0.35
195305,0.17
195306,0.17
195307,0.05
195308,0.13
195309,0.15
195310,0.19
195311,-0.24
195312,0.27
195401,-0.69
195402,-0.20
195403,-0.21
195404,-0.28
195405,-0.37
195406,-0.08
195407,-0.14
195408,0.03
195409,0.07
195410,0.10
195411,0.41
195412,-0.24
195501,0.66
195502,-0.05
195503,-0.74
195504,-0.45
195505,-0.10
195506,0.00
195507,-0.21
195508,0.13
195509,-0.02
195510,0.09
195511,-0.29
195512,-0.44
195601,-0.41
195602,-0.62
195603,-0.42
195604,-0.51
195605,-0.42
195606,-0.23
195607,-0.23
195608,-0.41
195609,-0.42
195610,-0.39
195611,-0.42
195612,-0.41
195701,-0.33
195702,-0.36
195703,-0.32
195704,-0.27
195705,-0.08
195706,0.11
195707,-0.18
195708,0.04
195709,0.12
195710,-0.05
195711,0.18
195712,0.62
195801,0.76
195802,0.39
195803,0.11
195804,0.10
195805,0.16
195806,-0.07
195807,0.06
195808,-0.03
195809,-0.15
195810,-0.02
195811,0.15
195812,0.25
195901,0.22
195902,0.06
